r**2,t * 1e9
1.50981e-13,0.818
1.51173e-13,0.819
1.51365e-13,0.82
1.51558e-13,0.821
1.51751e-13,0.822
1.51944e-13,0.823
1.52136e-13,0.824
1.52328e-13,0.825
1.52518e-13,0.826
1.52705e-13,0.827
1.52894e-13,0.828
1.53086e-13,0.829
1.5328e-13,0.83
1.53475e-13,0.831
1.53672e-13,0.832
1.53868e-13,0.833
1.54065e-13,0.834
1.54261e-13,0.835
1.54457e-13,0.836
1.54653e-13,0.837
1.54849e-13,0.838
1.55045e-13,0.839
1.5524e-13,0.84
1.55436e-13,0.841
1.55632e-13,0.842
1.5583e-13,0.843
1.56025e-13,0.844
1.5622e-13,0.845
1.56414e-13,0.846
1.5661e-13,0.847
1.56805e-13,0.848
1.57e-13,0.849
1.57197e-13,0.85
1.57394e-13,0.851
1.5759e-13,0.852
1.57786e-13,0.853
1.57982e-13,0.854
1.58178e-13,0.855
1.58377e-13,0.856
1.58576e-13,0.857
1.58774e-13,0.858
1.58972e-13,0.859
1.5917e-13,0.86
1.59369e-13,0.861
1.59572e-13,0.862
1.59775e-13,0.863
1.59978e-13,0.864
1.60179e-13,0.865
1.60381e-13,0.866
1.60584e-13,0.867
1.6079e-13,0.868
1.60996e-13,0.869
1.61203e-13,0.87
1.61412e-13,0.871
1.61622e-13,0.872
1.61831e-13,0.873
1.62042e-13,0.874
1.62252e-13,0.875
1.62461e-13,0.876
1.62672e-13,0.877
1.62882e-13,0.878
1.6309e-13,0.879
1.63296e-13,0.88
1.63503e-13,0.881
1.63707e-13,0.882
1.63912e-13,0.883
1.64118e-13,0.884
1.64322e-13,0.885
1.64525e-13,0.886
1.64724e-13,0.887
1.64921e-13,0.888
1.65116e-13,0.889
1.65308e-13,0.89
1.655e-13,0.891
1.6569e-13,0.892
1.65878e-13,0.893
1.66066e-13,0.894
1.66255e-13,0.895
1.66444e-13,0.896
1.66634e-13,0.897
1.66823e-13,0.898
1.67014e-13,0.899
1.67204e-13,0.9
1.67396e-13,0.901
1.67589e-13,0.902
1.67782e-13,0.903
1.67977e-13,0.904
1.68171e-13,0.905
1.68364e-13,0.906
1.68556e-13,0.907
1.68748e-13,0.908
1.68941e-13,0.909
1.69134e-13,0.91
1.69328e-13,0.911
1.69522e-13,0.912
1.69716e-13,0.913
1.6991e-13,0.914
1.70103e-13,0.915
1.70296e-13,0.916
1.70487e-13,0.917
1.70678e-13,0.918
1.70869e-13,0.919
1.7106e-13,0.92
1.7125e-13,0.921
1.71441e-13,0.922
1.71633e-13,0.923
1.71829e-13,0.924
1.72025e-13,0.925
1.72221e-13,0.926
1.72417e-13,0.927
1.72613e-13,0.928
1.72812e-13,0.929
1.73009e-13,0.93
1.73206e-13,0.931
1.73404e-13,0.932
1.73603e-13,0.933
1.73804e-13,0.934
1.74004e-13,0.935
1.74203e-13,0.936
1.744e-13,0.937
1.74597e-13,0.938
1.74796e-13,0.939
1.74993e-13,0.94
1.75192e-13,0.941
1.7539e-13,0.942
1.75587e-13,0.943
1.75783e-13,0.944
1.75981e-13,0.945
1.7618e-13,0.946
1.76379e-13,0.947
1.76577e-13,0.948
1.76776e-13,0.949
1.76976e-13,0.95
1.77175e-13,0.951
1.77376e-13,0.952
1.77577e-13,0.953
1.77779e-13,0.954
1.77982e-13,0.955
1.78182e-13,0.956
1.78382e-13,0.957
1.78581e-13,0.958
1.7878e-13,0.959
1.78982e-13,0.96
1.79185e-13,0.961
1.79388e-13,0.962
1.79593e-13,0.963
1.79798e-13,0.964
1.80002e-13,0.965
1.80206e-13,0.966
1.80409e-13,0.967
1.80612e-13,0.968
1.80814e-13,0.969
1.81013e-13,0.97
1.8121e-13,0.971
1.81407e-13,0.972
1.81603e-13,0.973
1.818e-13,0.974
1.81996e-13,0.975
1.82192e-13,0.976
1.82388e-13,0.977
1.82583e-13,0.978
1.82778e-13,0.979
1.82975e-13,0.98
1.8317e-13,0.981
1.83365e-13,0.982
1.8356e-13,0.983
1.83755e-13,0.984
1.8395e-13,0.985
1.84146e-13,0.986
1.84341e-13,0.987
1.84536e-13,0.988
1.84732e-13,0.989
1.84926e-13,0.99
1.85121e-13,0.991
1.85316e-13,0.992
1.85512e-13,0.993
1.85709e-13,0.994
1.85908e-13,0.995
1.86106e-13,0.996
1.86301e-13,0.997
1.86496e-13,0.998
1.86692e-13,0.999
1.86889e-13,1
